ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover
ADFFOODS,692557000.0,4926606000.0,941768000.0,5589221000.0,5580117000.0,4057961000.0,480981000.0,592336000.0,25761000.0,374157000.0,412382000.0,6281978000.0,0.14057487040774114,0.16849718413353132,0.12411155536702904,0.1687720884705464,0.11201798701174415,0.12921299515899065,0.12023206239752073,36.55789759714297,0.5402544483703147,-38225000.0,-0.006850214789403161,0.8882738844357622
ADL,565000.0,507684000.0,22109000.0,546172000.0,524045000.0,419570000.0,2458000.0,224223000.0,20916000.0,21066000.0,7866000.0,784638000.0,0.0011128969989205883,0.040479922075829594,0.0010781516854468606,0.042189124979725025,0.07693142839790768,-0.3874302831792612,0.44165859077694,1.057037674507554,37.28495575221239,13200000.0,0.0251886765449532,0.6678812395015281
ADOR,600500000.0,5070900000.0,911200000.0,5204100000.0,11178700000.0,6570000000.0,450200000.0,24100000.0,45400000.0,1371100000.0,412700000.0,6939300000.0,0.11842079315308919,0.17509271535904383,0.05371823199477578,0.08151216152146493,0.1938285954905763,0.10078501030905995,0.004752608018300499,20.070484581497798,2.2832639467110742,958400000.0,0.0857344771753424,1.6109261741097805
ADROITINFO,6883000.0,746763000.0,25330000.0,768019000.0,317122000.0,63710000.0,6187000.0,162217000.0,8074000.0,-134150000.0,84069000.0,964756000.0,0.00921711439907976,0.032980954898251216,0.021704580571515062,0.07987462238507577,0.7074169517045368,0.036173667270612775,0.21722688456712505,3.1372306167946493,-19.490047944210374,-218219000.0,-0.688123182875991,0.32870694766345065
ADSL,278100000.0,6017600000.0,675400000.0,7148900000.0,8070700000.0,4846700000.0,610300000.0,949000000.0,69200000.0,922700000.0,106700000.0,9253500000.0,0.046214437649561284,0.09447607324203723,0.034457977622758866,0.0836854300122666,0.18528199828766678,-0.2304812499296025,0.15770406806700346,9.760115606936417,3.31787126932758,816000000.0,0.10110647155760963,0.87217809477495
ADVANCE,256380000.0,1008730000.0,420500000.0,1165160000.0,5019190000.0,2507460000.0,89890000.0,804520000.0,68500000.0,57130000.0,336060000.0,3514720000.0,0.2541611729600587,0.3608946410793367,0.051079955132202606,0.08377845827713237,0.26027853892717334,0.41815680825889867,0.7975573245566207,6.138686131386861,0.22283329432873078,-278930000.0,-0.0555727119316065,1.4280483224837255
ADVANIHOTR,264355000.0,814202000.0,354110000.0,882712000.0,980912000.0,486745000.0,65081000.0,6500000.0,1133000.0,211988000.0,32821000.0,1078191000.0,0.3246798705972228,0.40116142071253136,0.26949920074379763,0.36100078294485133,0.2631148746812264,0.595552518701717,0.007983276877236854,312.54192409532214,0.801906527207732,179167000.0,0.18265348981356125,0.9097757261932256
ADVENTHTL,-98000.0,-651000.0,-99000.0,20194974000.0,0.0,,,5610000.0,,20195584000.0,,20200658000.0,0.15053763440860216,-4.9022098270589505e-06,,,,,-8.617511520737327,,-206077.38775510204,,,0.0
ADVENZYMES,1311150000.0,14208630000.0,1909210000.0,15245920000.0,6365070000.0,5289040000.0,1195820000.0,393500000.0,35570000.0,1424970000.0,347810000.0,16213470000.0,0.09227842515429004,0.12522760187643645,0.2059914502118594,0.2999511395789834,0.06367457285475542,0.03116664268186553,0.027694436409421597,53.674725892606126,1.0868092895549708,1077160000.0,0.16922987492674865,0.39257913327622035
AEGISLOG,6633779000.0,46308211000.0,11472110000.0,98907675000.0,65691109000.0,46243545000.0,3575229000.0,46060387000.0,1583883000.0,5581942000.0,9448655000.0,112327536000.0,0.14325275921369537,0.11598806664902395,0.100984426979304,0.17463717959153346,0.12413505597258268,0.2288127576573753,0.9946483788803675,7.243028683305522,0.8414422608893061,-3866713000.0,-0.058862044785999885,0.5848175019168942
AEGISVOPAK,865440000.0,9971650000.0,2902840000.0,43101710000.0,5617610000.0,,,32729460000.0,1692660000.0,3372080000.0,6627330000.0,45234010000.0,0.08679004979115794,0.0673486040345035,0.1540583985004299,0.5167393250866472,,,3.282251182101257,1.7149575224794111,3.8963764096875577,-3255250000.0,-0.5794724090850023,0.12418996237565495
AEQUS,-1023460000.0,7169190000.0,-423740000.0,11834200000.0,8979630000.0,,,7850470000.0,517050000.0,261410000.0,2651620000.0,18598400000.0,-0.14275810795919763,-0.03580639164455561,-0.11397574287582005,-0.047189026719363716,,,1.0950288665804644,-0.8195338942075234,-0.2554178961561761,-2390210000.0,-0.26618134600200677,0.4828173391259463
AEROENTER,531200000.0,7007219000.0,1143864000.0,8467861000.0,5785377000.0,3376238000.0,355438000.0,310665000.0,54173000.0,1396495000.0,1044252000.0,9751019000.0,0.07580753505777399,0.13508299203305296,0.09181769831075831,0.19771641502360174,0.19664740594759333,0.14331193370639972,0.044334992241572585,21.115020397615048,2.6289439006024096,352243000.0,0.060885055546077635,0.5933099914993499
AEROFLEX,525076000.0,3424162000.0,702845000.0,3443075000.0,3665869000.0,2329870000.0,275060000.0,5835000.0,3364000.0,265839000.0,1034628000.0,4265511000.0,0.15334438031845457,0.20413293349694678,0.14323370529607032,0.19172670927411753,0.16309471949574772,0.24050421187004978,0.0017040665716166466,208.93133174791913,0.5062867089716536,-768789000.0,-0.20971534989384508,0.8594208290636222
AERONEU,2022000.0,841400000.0,34736000.0,933306000.0,1292353000.0,805114000.0,42033000.0,282973000.0,30931000.0,75578000.0,57123000.0,1277216000.0,0.0024031376277632516,0.037218232819675436,0.0015645880034324986,0.026878105285475407,0.1708679696577502,(-0.6363109256859247+0j),0.3363120988828144,1.1230157447221234,37.37784371909001,18455000.0,0.014280154106501861,1.0118515583894971
AETHER,1584180000.0,22258850000.0,2224750000.0,22935170000.0,8386900000.0,5900480000.0,1089290000.0,1998700000.0,94910000.0,1000910000.0,4522940000.0,26442200000.0,0.07117079274086487,0.0970016790806434,0.18888743158974114,0.2652648773682767,0.1243582409459989,(0.1329750249163104+0j),0.08979349786714048,23.440627963333686,0.6318158290093298,-3522030000.0,-0.41994419869081545,0.3171786008728472
